Age,Ville,Sexe,  specialite_BAC,Nationale,Regional,Generale,Francais, Anglais,Loisirs,preferee ,detestee,Skills,specialite,performance,satisfaction,felier
30,larache,Femme,SE,15,"6,86","11,45",Intermediaire,Intermediaire,Cinema,Physique,Mathematiques,Resolution de problèmes,Economie,8,4,
20,fes,Homme,SP,"14,05","10,75","14,5",Intermediaire,Avance,"Musique, Jeux video, Technologie , Photographie",Informatique,Physique,"Resolution de problèmes, Esprit critique",Informatique,9,5,
19,sale ,Homme,SVT,"9,06","13,85","11,44",Intermediaire,Avance,"Sport, Jeux video, Technologie , Photographie",Histoire,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique",Biologie,4,2,
20,fes,Homme,STE,"15,76","16,55","15,75",Avance,Avance,"Sport, Jeux video, Technologie ",Informatique,Histoire,"Gestion du temps, Leadership",Informatique,8,5,
24,temara ,Homme,SP,14,10,12,Intermediaire,Intermediaire,Technologie,Informatique,Kolchi apart info,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Informatique,7,5,
19,sale,Homme,SP,11,15,13,Avance,Fluent,Technologie ,Physique,None,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Esprit critique",Physique,8,4,
19,oujda,Femme,SP,"12,1",13,"12,1",Avance,Avance,"Lecture, Sport, Musique, Voyage, Cinema, Arts plastiques , Technologie ",Mathematiques,Biologie,"Creativite, Resolution de problèmes, Leadership",education,9,3,
19,sale,Homme,SP,"11,61","17,45","13,76",Avance,Avance,Sport,Biologie,Histoire,"Adaptabilite, Creativite, Resolution de problèmes, Autonomie",Medecine,7,4,
20,midelt ,Homme,SP,"16,47","16,5","16,7",Avance,Intermediaire,"Sport, Voyage, Jeux video, Technologie ",Physique,Mathematiques,"Communication, Travail en equipe, Gestion du temps, Creativite, Esprit critique",Informatique,7,3,
43,qatar ,Homme,Lettres,12,13,"11,82",Avance,Intermediaire,"Lecture, Sport, Musique, Voyage, Cinema, Photographie",Philosophie et litterature ,Toutes les matières scientifiques,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Sciences humaines et sociales,8,5,
22,rabat,Homme,SP,"16,02","10,65","14,38",Avance,Intermediaire,"Lecture, Voyage, Cinema",Physique,None,"Communication, Travail en equipe, Esprit critique",Physique,9,5,
20,tetouan,Homme,SP,10,11,"10,27",Intermediaire,Intermediaire,"Sport, Voyage, Technologie ",Informatique,Litterature,"Communication, Travail en equipe, Resolution de problèmes",Economie,7,2,
31,casa,Homme,Lettres,14,9,12,Intermediaire,Fluent,"Lecture, Sport, Musique, Photographie",Langues,None,"Communication, Adaptabilite, Creativite, Autonomie",Langues etrangères,8,3,
22,taroudant,Homme,SP,"16,42","16,92","16,67",Intermediaire,Intermediaire,"Sport, Voyage, Benevolat",Informatique,Litterature,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Informatique,8,5,
24,rabat,Femme,SP,"16,98","13,9","16,14",Avance,Avance,"Lecture, Musique, Voyage, Cinema, Jeux video, Benevolat, Technologie , Ecriture, Photographie",Mathematiques,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingenierie,10,5,
23,ouazzane ,Homme,SP,"18,03","13,5","16,81",Intermediaire,Intermediaire,"Lecture, Musique",Physique,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Ingenierie,8,5,
19,sale ,Homme,SP,9,16,9,Intermediaire,Avance,"Lecture, Technologie , Ecriture, Photographie",Philosophie ,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Informatique,5,4,
22,fes,Femme,SP,"16,77","15,65","16,67",Avance,Avance,"Arts plastiques , Benevolat, Photographie",Mathematiques,Histoire,"Travail en equipe, Gestion du temps, Creativite, Autonomie",Ingenierie,9,5,
21,sale ,Femme,SP,"16,7","17,85",17,Fluent,Avance,"Lecture, Musique, Voyage, Cinema, Benevolat",Mathematiques,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Leadership, Autonomie",Ingenierie,10,5,
18,fes,Femme,SP,"13,56","16,2","15,33",Avance,Intermediaire,"Sport, Voyage, Arts plastiques ",Informatique,None,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Informatique,7,5,
22,fes,Homme,SM,"10,92","13,9","12,65",Intermediaire,Intermediaire,"Sport, Voyage, Technologie , Photographie",Informatique,Biologie,"Travail en equipe, Resolution de problèmes, Empathie",Informatique,7,3,
23,fes ,Femme,SP,"16,49","17,68","17,06",Fluent,Intermediaire,"Musique, Voyage",Physique,None,"Communication, Travail en equipe, Gestion du temps, Leadership, Autonomie",Ingenierie,9,5,
26,fes,Homme,SP,"14,52","13,9","14,77",Fluent,Avance,"Sport, Voyage, Jeux video, Benevolat",Mathematiques,None,"Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problèmes, Leadership, Autonomie",Ingenierie,9,4,
24,fes,Femme,SP,"19,21","17,75","18,6",Intermediaire,Debutant,"Lecture, Ecriture",Medecine ,None,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Empathie",Medecine,8,5,
